54Q:acc 0.9455, nmi 0.8892, ari 0.8854, f1 0.9459
54Z:acc 0.9469, nmi 0.8922, ari 0.8885, f1 0.9473
54Z2:acc 0.9482, nmi 0.8949, ari 0.8909, f1 0.9486
54P:acc 0.9460, nmi 0.8896, ari 0.8863, f1 0.9463
55Q:acc 0.9457, nmi 0.8892, ari 0.8856, f1 0.9460
55Z:acc 0.9471, nmi 0.8923, ari 0.8888, f1 0.9475
55Z2:acc 0.9482, nmi 0.8951, ari 0.8909, f1 0.9487
55P:acc 0.9462, nmi 0.8899, ari 0.8866, f1 0.9465
56Q:acc 0.9458, nmi 0.8895, ari 0.8858, f1 0.9461
56Z:acc 0.9472, nmi 0.8926, ari 0.8890, f1 0.9476
56Z2:acc 0.9481, nmi 0.8951, ari 0.8907, f1 0.9486
56P:acc 0.9462, nmi 0.8899, ari 0.8866, f1 0.9465
57Q:acc 0.9458, nmi 0.8897, ari 0.8860, f1 0.9462
57Z:acc 0.9471, nmi 0.8924, ari 0.8888, f1 0.9475
57Z2:acc 0.9480, nmi 0.8950, ari 0.8906, f1 0.9485
57P:acc 0.9462, nmi 0.8900, ari 0.8866, f1 0.9465
58Q:acc 0.9460, nmi 0.8900, ari 0.8862, f1 0.9464
58Z:acc 0.9470, nmi 0.8925, ari 0.8887, f1 0.9474
58Z2:acc 0.9479, nmi 0.8948, ari 0.8904, f1 0.9484
58P:acc 0.9462, nmi 0.8900, ari 0.8866, f1 0.9465
59Q:acc 0.9459, nmi 0.8900, ari 0.8861, f1 0.9463
59Z:acc 0.9471, nmi 0.8927, ari 0.8889, f1 0.9475
59Z2:acc 0.9478, nmi 0.8948, ari 0.8902, f1 0.9484
59P:acc 0.9462, nmi 0.8900, ari 0.8866, f1 0.9465
60Q:acc 0.9459, nmi 0.8901, ari 0.8861, f1 0.9463
60Z:acc 0.9472, nmi 0.8928, ari 0.8890, f1 0.9476
60Z2:acc 0.9478, nmi 0.8948, ari 0.8902, f1 0.9484
